"Plano:","Projeto:","Avaliador:","Orientador:","Vigência:","Área:","Subárea:","Programa:","Centro:"
"ESTUDO DOS FUNDAMENTOS DA FÍSICA E RESULTADOS NA OLIMPÍADA BRASILEIRA DE FÍSICA (OBF) - PLANO 1","A OLIMPÍADA BRASILEIRA DE FÍSICA (OBF) COMO DISPOSITIVO DE AVALIAÇÃO NA REFORMULAÇÃO DO ESTUDO DOS FUNDAMENTOS DA FÍSICA DO ENSINO MÉDIO.","FERNANDO JORGE SAMPAIO MORAES","ELADIO JOSE DE GOES BRENNAND","2014","Física","Física Geral","PIBIC-EM",""
"LABORATÓRIO DE FÍSICA NA CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO NO ENSINO MÉDIO: CONSERVAÇÃO DA ENERGIA MECÂNICA","LABORATÓRIO DE FÍSICA COMO FORMA DE REFORMULAÇÃO DO ESTUDO DOS FUNDAMENTOS DA FÍSICA DO ENSINO MÉDIO","MARCOS CESAR SANTOS ORIA","JOEL BATISTA DA FONSECA NETO","2014","Física","Física Geral","PIBIC-EM",""
"LABORATÓRIO DE FÍSICA NA CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO NO ENSINO MÉDIO: CONSERVAÇÃO DE QUANTIDADE DE MOVIMENTO","LABORATÓRIO DE FÍSICA COMO FORMA DE REFORMULAÇÃO DO ESTUDO DOS FUNDAMENTOS DA FÍSICA DO ENSINO MÉDIO","MARCOS CESAR SANTOS ORIA","JOEL BATISTA DA FONSECA NETO","2014","Física","Física Geral","PIBIC-EM",""
"LABORATÓRIO DE FÍSICA NA CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO NO ENSINO MÉDIO: CINEMÁTICA","LABORATÓRIO DE FÍSICA COMO FORMA DE REFORMULAÇÃO DO ESTUDO DOS FUNDAMENTOS DA FÍSICA DO ENSINO MÉDIO","MARCOS CESAR SANTOS ORIA","JOEL BATISTA DA FONSECA NETO","2014","Física","Física Geral","PIBIC-EM",""
"FÍSICA DAS LENTES","ASTRONOMIA COMO FORMA DE INSERÇÃO DA CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO NO ENSINO MÉDIO","THIERRY MARCELINO PASSERAT DE SILANS","EDMUNDO MARINHO DO MONTE","2014","Astronomia","Instrumentação Astronômica","PIBIC-EM",""
"ASTRONOMIA OBSERVACIONAL","ASTRONOMIA COMO FORMA DE INSERÇÃO DA CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO NO ENSINO MÉDIO","THIERRY MARCELINO PASSERAT DE SILANS","EDMUNDO MARINHO DO MONTE","2014","Astronomia","Instrumentação Astronômica","PIBIC-EM",""
"ASTRONOMIA MODERNA","ASTRONOMIA COMO FORMA DE INSERÇÃO DA CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO NO ENSINO MÉDIO","MARTINE PATRICIA ARLTTE CHEVROLLER","EDMUNDO MARINHO DO MONTE","2014","Astronomia","Instrumentação Astronômica","PIBIC-EM",""
"HISTORIA DA ASTRONOMIA","ASTRONOMIA COMO FORMA DE INSERÇÃO DA CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO NO ENSINO MÉDIO","MARTINE PATRICIA ARLTTE CHEVROLLER","EDMUNDO MARINHO DO MONTE","2014","Astronomia","Instrumentação Astronômica","PIBIC-EM",""
"BIOMETRIA DURANTE A MATURAÇÃO DE UMBUGUELA (SPONDIAS SP.)","FISIOLOGIA DA MATURAÇÃO, QUALIDADE E AGREGAÇÃO DE VALOR EM FRUTOS DE IMPORTÂNCIA SÓCIOECONOMICA PARA O SEMI-ÁRIDO","LOURIVAL FERREIRA CAVALCANTE","SILVANDA DE MELO SILVA","2014","Agronomia","Fitotecnia","PIBIC-EM",""
"ATRIBUTOS DE QUALIDADE DE FRUTOS DE DO GÊNERO SPONDIAS","FISIOLOGIA DA MATURAÇÃO, QUALIDADE E AGREGAÇÃO DE VALOR EM FRUTOS DE IMPORTÂNCIA SÓCIOECONOMICA PARA O SEMI-ÁRIDO","LOURIVAL FERREIRA CAVALCANTE","SILVANDA DE MELO SILVA","2014","Agronomia","Fitotecnia","PIBIC-EM",""
"PRINCIPAIS DÚVIDAS SOBRE OBESIDADE E CIRURGIA BARIÁTRICA DOS PACIENTES CANDIDATOS À GASTROPLASTIA","PERFIL DO PACIENTE OBESO PRÉ E PÓS-INTERVENÇÃO BARIÁTRICA NUM HOSPITAL UNIVERSITÁRIO","LEINA YUKARI ETTO","VIRGINIA ANGELA MENEZES DE LUCENA E CARVALHO","2014","Medicina","Clínica Médica","PIVIC",""
"DIMENSIONAMENTO DE UM SISTEMA FOTOVOLTAICO CONECTADO À REDE","Estudo da viabilidade do uso de energia solar fotovoltaica em uma residência urbana","YURI PERCY MOLINA RODRIGUEZ","JOSÉ FELIX DA SILVA NETO","2014","Engenharia Elétrica","Sistemas Elétricos de Potência","PIBIC-EM",""
"CICLO DE VIDA, LOGÍSTICA REVERSA, GESTÃO DE RESÍDUOS E METODOLOGIA DE ECODESIGN PARA A CONCEPÇÃO DE PRANCHAS DE SURFE","CICLO DE VIDA, LOGÍSTICA REVERSA, GESTÃO DE RESÍDUOS E METODOLOGIA DE ECODESIGN PARA A CONCEPÇÃO DE PRANCHAS DE SURFE.","ROGERIO OLIVEIRA BARBOSA","MARIVALDO WAGNER DE SOUSA SILVA","2014","Desenho Industrial","","PIVIC",""
"LEITURA DOS IMPLÍCITOS EM CHARGES DE RÉGIS SOARES","LEITURA DOS IMPLÍCITOS EM CHARGES","RAQUEL BASÍLIO DA CUNHA DIAS DE MELO","SANDRA HELENA GURGEL DANTAS DE MEDEIROS","2014","Lingüística","Teoria e Análise Lingüística","PIBIC-EM",""
"ESTRATÉGIAS DE ESTIMAÇÃO DE PROPORÇÕES POPULACIONAIS ASSISTIDAS POR MODELOS DE REGRESSÃO GENERALIZADOS EM UMA ABORDAGEM DE CADASTRO DUPLO","INFERÊNCIA SOB PLANOS AMOSTRAIS DE CADASTRO DUPLO","LUIZ MEDEIROS DE ARAUJO LIMA FILHO","HEMILIO FERNANDES CAMPOS COELHO","2014","Probabilidade e Estatística","Estatística","PIBIC",""
"ESTUDO DO EFEITO DA METIL-WARIFTEINA EM MODELO EXPERIMENTAL DE INFLAMAÇAO AGUDA","AVALIAÇÃO DA ATIVIDADE ANTI-INFLAMATÓRIA DA WARIFTEINA, UM ALCALOIDE DE CISSAMPELOS SYMPODIALIS ECHL (MENISPERMACEAE).","SANDRA RODRIGUES MASCARENHAS","MARCIA REGINA PIUVEZAM","2014","Imunologia","Imunologia Celular","PIBIC",""
"ESTUDO DOS LIMITES DA ANÁLISE E DIAGNÓSTICO HÍDRICO ATRAVÉS DO USO DE FERRAMENTAS DAS GEOTECNOLOGIAS: ESTUDO DAS ZONAS DE IMAGENS COM BAIXA RESOLUÇÃO - O CASO DE GURINHÉM - PARAÍBA","GOVERNANÇAS DAS ÁGUAS E CONFLITOS PELO USO DOS RECURSOS HÍDRICOS NA BACIA DO PARAÍBA","MARCO ANTONIO MITIDIERO JUNIOR","PEDRO COSTA GUEDES VIANNA","2014","Geografia","","PIBIC",""
"PROCESSO DE TRABALHO VOLTADO AO CUIDADO À PESSOA IDOSA COM TUBERCULOSE E SUAS IMPLICAÇÕES NO RETARDO DO DIAGNÓSTICO: A DISCURSIVIDADE DE ENFERMEIROS GESTORES","A DISCURSIVIDADE DE ENFERMEIROS GESTORES RELACIONADA AO RETARDO DO DIAGNÓSTICO DA TUBERCULOSE EM PESSOAS IDOSAS","MARIA DJAIR DIAS","LENILDE DUARTE DE SA","2014","Enfermagem","","PIBIC",""
"EFEITO DOS ESTADOS DE TRANSFERÊNCIA DE CARGA SOBRE AS PROPRIEDADES LUMINESCENTES DE COMPLEXOS DE EU(III) CONTENDO O ÂNION NCS-","TRANSFERÊNCIA DE ENERGIA E TRANSFERÊNCIA DE CARGA EM COMPLEXOS DE ÍONS LANTANÍDEOS","JULIO SANTOS REBOUCAS","WAGNER DE MENDONÇA FAUSTINO","2014","Química","Química Inorgânica","PIBIC",""
"AVALIAÇÃO DO EFEITO INDUZIDO PELO LIOFILIZADO DO EXTRATO HIDROALCOÓLICO DA CASCA DA UVA VITIS VINIFERA L. DO VALE DO SÃO FRANCISCO EM MODELOS DE DISFUNÇÃO ERÉTIL INDUZIDOS PELA HIPERTENSÃO ESSENCIAL - ESTUDOS IN VIVO","AVALIAÇÃO DOS EFEITOS DO EXTRATO HIDROALCOÓLICO DA CASCA DA UVA VITIS VINIFERA L. DO VALE DO SÃO FRANCISCO EM DOIS MODELOS DE DISFUNÇÃO ERÉTIL INDUZIDOS POR L-NAME E ESTREPTOZOTOCINA","BAGNOLIA ARAUJO DA SILVA","ROBSON CAVALCANTE VERAS","2014","Farmacologia","Farmacologia Geral","PIBIC",""
"AVALIAÇÃO DAS PROPRIEDADES IMUNOMODULATÓRIAS DA CARBOXIMETILGLUCANA OBTIDA DE LEVEDURA CERVEJEIRA ADICIONADA EM ALIMENTOS","OBTENÇÃO DE BIOMODULADOR A PARTIR DA PAREDE CELULAR DE SACCHAROMYCES SPP. DESCARTADA APÓS PROCESSO FERMENTATIVO DE PRODUÇÃO DA CERVEJA","GRACIELE DA SILVA CAMPELO BORGES","MARCIANE MAGNANI","2014","Ciência e Tecnologia de Alimentos","Ciência de Alimentos","PIBITI",""
"NÍVEL DE ATIVIDADE FÍSICA EM DOCENTES DO CENTRO DE CIÊNCIAS DA SAÚDE DA UNIVERSIDADE FEDERAL DA PARAÍBA","QUALIDADE DO SONO, SONOLÊNCIA DIURNA E NÍVEL DE ATIVIDADE FÍSICA EM DOCENTES DO CENTRO DE CIÊNCIAS DA SAÚDE DA UNIVERSIDADE FEDERAL DA PARAÍBA","GILMÁRIO RICARTE BATISTA","AMILTON DA CRUZ SANTOS","2014","Educação Física","","PIBIC",""
"COMPARAÇÃO ENTRE TESTES IMUNOENZIMÁTICOS E EPF PARA DIAGNÓSTICO DE INFECÇÃO ATIVA POR GIARDIA LAMBLIA","CORRELAÇÃO ENTRE EXAMES COPROLÓGICOS, TESTES SOROLÓGICOS E EXAMES HEMATOLÓGICOS E SUA ASSOCIAÇÃO ENTRE A RESPOSTA IMUNOLÓGICA POR TH1, TH2 E TREG EM IDOSOS NA REGIÃO METROPOLITANA DE JOÃO PESSOA/PB","MARILIA GABRIELA DOS SANTOS CAVALCANTI","LÚCIO ROBERTO CANÇADO CASTELLANO","2014","Parasitologia","","PIBIC-EM",""
"PREVALÊNCIA DE PARASITOSES INTESTINAIS EM IDOSOS HABITANTES DE ÁREA URBANA DE JOÃO PESSOA/PB","CORRELAÇÃO ENTRE EXAMES COPROLÓGICOS, TESTES SOROLÓGICOS E EXAMES HEMATOLÓGICOS E SUA ASSOCIAÇÃO ENTRE A RESPOSTA IMUNOLÓGICA POR TH1, TH2 E TREG EM IDOSOS NA REGIÃO METROPOLITANA DE JOÃO PESSOA/PB","MARILIA GABRIELA DOS SANTOS CAVALCANTI","LÚCIO ROBERTO CANÇADO CASTELLANO","2014","Parasitologia","","PIBIC-EM",""
"SOROPREVALÊNCIA DE ANTICORPOS ANTI-SCHISTOSOMA MANSONI EM IDOSOS DE ÁREA URBANA DE JOÃO PESSOA/PB","CORRELAÇÃO ENTRE EXAMES COPROLÓGICOS, TESTES SOROLÓGICOS E EXAMES HEMATOLÓGICOS E SUA ASSOCIAÇÃO ENTRE A RESPOSTA IMUNOLÓGICA POR TH1, TH2 E TREG EM IDOSOS NA REGIÃO METROPOLITANA DE JOÃO PESSOA/PB","MARILIA GABRIELA DOS SANTOS CAVALCANTI","LÚCIO ROBERTO CANÇADO CASTELLANO","2014","Parasitologia","","PIBIC-EM",""
"COMPARAO DAS ALTERAES HEMATOLGICAS ENTRE IDOSOS MONO E POLI-PARASITADOS HABITANTES DE JOO PESSOA/PB","CORRELAÇÃO ENTRE EXAMES COPROLÓGICOS, TESTES SOROLÓGICOS E EXAMES HEMATOLÓGICOS E SUA ASSOCIAÇÃO ENTRE A RESPOSTA IMUNOLÓGICA POR TH1, TH2 E TREG EM IDOSOS NA REGIÃO METROPOLITANA DE JOÃO PESSOA/PB","MARILIA GABRIELA DOS SANTOS CAVALCANTI","LÚCIO ROBERTO CANÇADO CASTELLANO","2014","Parasitologia","","PIBIC-EM",""
"ATIVIDADE ANTIDIARREICA E NA MOTILIDADE GASTRINTESTINAL DA FRAÇÃO DE ALCALOIDES TOTAIS OBTIDA DE CISSAMPELOS SYMPODIALIS EICHL. (MENISPERMACEAE)","ESTUDO DAS ATIVIDADES GASTROPROTETORA E ANTIULCEROGÊNICA DE EXTRATOS BRUTOS, FRAÇÕES E CONSTITUINTES ATIVOS OBTIDOS DE PRODUTOS NATURAIS EM MODELOS ANIMAIS","MARIANNA VIEIRA SOBRAL CASTELLO BRANCO","LEONIA MARIA BATISTA","2014","Farmácia","Farmacognosia","PIBIC",""
"COMPOSIÇÃO CORPORAL DE JUVENIS DE TILÁPIA NILÓTICA (OREOCHROMIS NILOTICUS) LINHAGEM GIFT ALIMENTADOS COM DIETAS SUPLEMENTADAS COM AMINOÁCIDOS SINTÉTICOS","EXIGÊNCIA PROTEICA DE JUVENIS DE TILÁPIA NILÓTICA (OREOCHROMIS NILOTICUS) LINHAGEM GIFT","LÍVIO CARVALHO DE FIGUEIRÊDO","ALDA LÚCIA DE LIMA AMANCIO","2014","Recursos Pesqueiros e Engenharia de Pesca","Aqüicultura","PIBIC-EM",""
"DESEMPENHO PRODUTIVO DE JUVENIS DE TILÁPIA NILÓTICA (OREOCHROMIS NILOTICUS) LINHAGEM GIFT ALIMENTADOS COM RAÇÕES SUPLEMENTADAS COM AMINOÁCIDOS SINTÉTICOS","EXIGÊNCIA PROTEICA DE JUVENIS DE TILÁPIA NILÓTICA (OREOCHROMIS NILOTICUS) LINHAGEM GIFT","LÍVIO CARVALHO DE FIGUEIRÊDO","ALDA LÚCIA DE LIMA AMANCIO","2014","Recursos Pesqueiros e Engenharia de Pesca","Aqüicultura","PIBIC-EM",""
"DESEMPENHO DE TAMBAQUI (COLOSSOMA MACROPOMUM) NA CATEGORIA DE 30 A 100 GRAMAS ALIMENTADO COM DIETAS CONTENDO DIFERENTES NÍVEIS DE PROTEÍNA","EXIGÊNCIA PROTÉICA DE TAMBAQUI (COLOSSOMA MACROPOMUM) NA CATEGORIA DE 30 A 100 GRAMAS, APLICANDO O CONCEITO DE PROTEÍNA IDEAL","LÍVIO CARVALHO DE FIGUEIRÊDO","ALDA LÚCIA DE LIMA AMANCIO","2014","Recursos Pesqueiros e Engenharia de Pesca","Aqüicultura","PIBIC-EM",""
"UM OLHAR SOBRE O EGRESSO DO CURSO DE PEDAGOGIA E A SUA RELAÇÃO COM A EJA","O MAGISTÉRIO EM EDUCAÇÃO DE JOVENS E ADULTOS: O EGRESSO DO CURSO DE PEDAGOGIA EM QUESTÃO","ANA DORZIAT BARBOSA DE MELO","EDUARDO ANTONIO DE PONTES COSTA","2014","Educação","Tópicos Específicos de Educação","PIVIC",""
"AVALIAÇÃO DO SISTEMA NERVOSO AUTÔNOMO EM IDOSOS E SUA RELAÇÃO COM OS NÍVEIS DE VITAMINA D","AVALIAÇÃO DO SISTEMA NERVOSO AUTÔNOMO EM IDOSOS E SUA RELAÇÃO COM OS NÍVEIS DE VITAMINA D","FLAVIA EMILIA LEITE DE LIMA FERREIRA","MARIA DA CONCEIÇÃO RODRIGUES GONÇALVES","2014","Nutrição","Análise Nutricional de População","PIBIC",""
"A ESTRUTURA DE PROPRIEDADE E A ASSIMETRIA DE INFORMAÇÃO NO MERCADO ACIONÁRIO BRASILEIRO","A ESTRUTURA DE PROPRIEDADE E A ASSIMETRIA DE INFORMAÇÃO NO MERCADO ACIONÁRIO BRASILEIRO","SIMONE BASTOS PAIVA","ORLEANS SILVA MARTINS","2014","Administração","Ciências Contábeis","PIBIC",""
"POLÍTICAS DE EDUCAÇÃO SUPERIOR: OS DESAFIOS DO ACESSO NO CONTEXTO DA EXPANSÃO DA UNIVERSIDADE FEDERAL DA PARAÍBA NO PERÍODO PÓS-LDB","POLÍTICAS DE EDUCAÇÃO SUPERIOR: OS DESAFIOS DO ACESSO E PERMANÊNCIA NO CONTEXTO DA EXPANSÃO DAS UNIVERSIDADES FEDERAIS","TIMOTHY DENIS IRELAND","EDINEIDE JEZINI MESQUITA","2014","Educação","Tópicos Específicos de Educação","PIBIC-AF",""
"A IMPRENSA COMO FONTE HISTÓRICA EDUCACIONAL","EDUCADORAS NA PARAÍBA DO SÉCULO XX: DA DEMOCRACIA DA REPÚBLICA NOVA AO ESTADO NOVO (1930-1937)","FABIANA SENA DA SILVA","CHARLITON JOSE DOS SANTOS MACHADO","2014","Educação","Fundamentos da Educação","PIBIC",""
"FRACIONAMENTO DE LIPÍDIOS TOTAIS: NEUTROS E FOSFOLIPÍDIOS DO TECIDO ADIPOSO DA CAVIDADE OCULAR TILÁPIAS (OREOCHROMIS NILOTICUS) CULTIVADAS EM DIFERENTES SISTEMAS NO MUNICÍPIO DE BANANEIRAS, PB","FRACIONAMENTO POR CROMATOGRAFIA EM COLUNA CLASSICA DE LIPÍDIOS TOTAIS EM RESÍDUOS DE TILÁPIAS (OREOCHROMIS NILOTICUS) CULTIVADAS EM AÇUDE E VIVEIRO NO BREJO PARAIBANO","MARCIA ROSEANE TARGINO DE OLIVEIRA","NEIVA MARIA DE ALMEIDA","2014","Ciência e Tecnologia de Alimentos","Ciência de Alimentos","PIBIC",""
"TRAJETÓRIA SOCIAL DE FORMAÇÃO DOS JOVENS DA ESCOLA ESTADUAL JOSÉ LINS DO RÊGO NA CIDADE DE JOÃO PESSOA/PB","TRAJETÓRIA SOCIAL DOS JOVENS DO ENSINO MÉDIO PÚBLICO","JOSE JASSUIPE DA SILVA MORAIS","GEOVANIA DA SILVA TOSCANO","2014","Sociologia","Outras Sociologias Específicas","PIBIC",""
"AVALIAÇÃO MECÂNICA DE COMPÓSITO Á BASE DE SULFATO DE CÁLCIO DIHIDRATADO","ENDURECIMENTO DE PASTAS À BASE DE SULFATO DE CÁLCIO DIHIDRATADO","LISZANDRA FERNANDA ARAUJO CAMPOS","SANDRO MARDEN TORRES","2014","Engenharia de Materiais e Metalúrgica","Materiais não Metálicos","PIBIC",""
